mH xsec scale_hi scale_lo pdf_hi pdf_lo
80.0	1.508	+1.9	-1.9	+2.1	-2.1
81.0	1.459	+1.9	-1.9	+2.1	-2.1
82.0	1.411	+2.0	-2.0	+2.1	-2.1
83.0	1.366	+2.0	-2.0	+2.1	-2.1
84.0	1.321	+2.0	-2.0	+2.1	-2.1
85.0	1.281	+2.0	-2.0	+2.1	-2.1
86.0	1.238	+2.1	-2.1	+2.1	-2.1
87.0	1.200	+2.1	-2.1	+2.1	-2.1
88.0	1.163	+2.1	-2.1	+2.2	-2.2
89.0	1.126	+2.1	-2.1	+2.2	-2.2
90.0	1.092	+2.1	-2.1	+2.2	-2.2
91.0	1.059	+2.2	-2.2	+2.2	-2.2
92.0	1.028	+2.2	-2.2	+2.2	-2.2
93.0	0.9965	+2.2	-2.2	+2.2	-2.2
94.0	0.9670	+2.2	-2.2	+2.3	-2.3
95.0	0.9383	+2.3	-2.3	+2.3	-2.3
96.0	0.9109	+2.3	-2.3	+2.3	-2.3
97.0	0.8840	+2.3	-2.3	+2.3	-2.3
98.0	0.8592	+2.3	-2.3	+2.3	-2.3
99.0	0.8340	+2.4	-2.4	+2.3	-2.3
100.0	0.8102	+2.4	-2.4	+2.3	-2.3
101.0	0.7876	+2.4	-2.4	+2.3	-2.3
102.0	0.7650	+2.4	-2.4	+2.3	-2.3
103.0	0.7436	+2.5	-2.5	+2.3	-2.3
104.0	0.7226	+2.5	-2.5	+2.3	-2.3
105.0	0.7022	+2.5	-2.5	+2.3	-2.3
106.0	0.6833	+2.6	-2.6	+2.4	-2.4
107.0	0.6646	+2.6	-2.6	+2.4	-2.4
108.0	0.6469	+2.6	-2.6	+2.4	-2.4
109.0	0.6296	+2.7	-2.7	+2.4	-2.4
110.0	0.6125	+2.7	-2.7	+2.4	-2.4
110.5	0.6040	+2.7	-2.7	+2.4	-2.4
111.0	0.5960	+2.7	-2.7	+2.4	-2.4
111.5	0.5880	+2.8	-2.8	+2.4	-2.4
112.0	0.5803	+2.8	-2.8	+2.4	-2.4
112.5	0.5725	+2.8	-2.8	+2.4	-2.4
113.0	0.5646	+2.8	-2.8	+2.4	-2.4
113.5	0.5573	+2.8	-2.8	+2.4	-2.4
114.0	0.5501	+2.8	-2.8	+2.4	-2.4
114.5	0.5427	+2.8	-2.8	+2.4	-2.4
